Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ProductNavigation_new,Chrome 129.0.0.0,,,04-10-2024 13:12:34,04-10-2024 13:12:43,8.831s,PASSED
,,,,,,,
Test Cases/TC_Productnavigation_New1,Chrome 129.0.0.0,,RegressionTest,04-10-2024 13:12:34,04-10-2024 13:12:43,8.658s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,04-10-2024 13:12:35,04-10-2024 13:12:36,1.755s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 129.0.0.0,,,04-10-2024 13:12:36,04-10-2024 13:12:37,0.746s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 129.0.0.0,,,04-10-2024 13:12:37,04-10-2024 13:12:38,0.393s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_Enter the Store""))",Chrome 129.0.0.0,,,04-10-2024 13:12:38,04-10-2024 13:12:39,1.039s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/img""))",Chrome 129.0.0.0,,,04-10-2024 13:12:39,04-10-2024 13:12:39,0.516s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_FI-SW-01""))",Chrome 129.0.0.0,,,04-10-2024 13:12:39,04-10-2024 13:12:40,0.568s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_EST-1""))",Chrome 129.0.0.0,,,04-10-2024 13:12:40,04-10-2024 13:12:41,0.831s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_Add to Cart""))",Chrome 129.0.0.0,,,04-10-2024 13:12:41,04-10-2024 13:12:41,0.559s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_Proceed to Checkout""))",Chrome 129.0.0.0,,,04-10-2024 13:12:41,04-10-2024 13:12:42,0.589s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/img""))",Chrome 129.0.0.0,,,04-10-2024 13:12:42,04-10-2024 13:12:42,0.591s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_Return to Main Menu""))",Chrome 129.0.0.0,,,04-10-2024 13:12:42,04-10-2024 13:12:43,0.654s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,04-10-2024 13:12:43,04-10-2024 13:12:43,0.158s,PASSED
