Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_ProductNavigation_ALL,Chrome 129.0.0.0,,,04-10-2024 13:29:03,04-10-2024 13:29:11,7.852s,PASSED
,,,,,,,
Test Cases/TC_Productnavigation_New1,Chrome 129.0.0.0,,RegressionTest,04-10-2024 13:29:03,04-10-2024 13:29:11,7.700s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,04-10-2024 13:29:04,04-10-2024 13:29:05,1.503s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 129.0.0.0,,,04-10-2024 13:29:05,04-10-2024 13:29:06,0.749s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 129.0.0.0,,,04-10-2024 13:29:06,04-10-2024 13:29:06,0.357s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_Enter the Store""))",Chrome 129.0.0.0,,,04-10-2024 13:29:06,04-10-2024 13:29:07,0.919s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/img""))",Chrome 129.0.0.0,,,04-10-2024 13:29:07,04-10-2024 13:29:08,0.484s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_FI-SW-01""))",Chrome 129.0.0.0,,,04-10-2024 13:29:08,04-10-2024 13:29:08,0.497s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_EST-1""))",Chrome 129.0.0.0,,,04-10-2024 13:29:08,04-10-2024 13:29:09,0.775s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_Add to Cart""))",Chrome 129.0.0.0,,,04-10-2024 13:29:09,04-10-2024 13:29:09,0.535s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_Proceed to Checkout""))",Chrome 129.0.0.0,,,04-10-2024 13:29:09,04-10-2024 13:29:10,0.488s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/img""))",Chrome 129.0.0.0,,,04-10-2024 13:29:10,04-10-2024 13:29:10,0.476s,PASSED
"click(findTestObject(""Object Repository/ProductNavigation_Fish/Page_JPetStore Demo/a_Return to Main Menu""))",Chrome 129.0.0.0,,,04-10-2024 13:29:10,04-10-2024 13:29:11,0.495s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,04-10-2024 13:29:11,04-10-2024 13:29:11,0.178s,PASSED
