Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_BrokenLocator4,Chrome 129.0.0.0,,,04-10-2024 19:10:34,04-10-2024 19:10:49,15.544s,PASSED
,,,,,,,
Test Cases/BrokenLocator4,Chrome 129.0.0.0,,,04-10-2024 19:10:34,04-10-2024 19:10:49,15.365s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,04-10-2024 19:10:34,04-10-2024 19:10:36,1.652s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 129.0.0.0,,,04-10-2024 19:10:36,04-10-2024 19:10:37,0.888s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/a_Enter the Store""))",Chrome 129.0.0.0,,,04-10-2024 19:10:37,04-10-2024 19:10:40,3.680s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/a_Sign In""))",Chrome 129.0.0.0,,,04-10-2024 19:10:40,04-10-2024 19:10:41,0.811s,PASSED
"setText(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/input_Need a user name and password_username""), ""mohan"")",Chrome 129.0.0.0,,,04-10-2024 19:10:41,04-10-2024 19:10:42,0.822s,PASSED
"setText(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/input_Need a user name and password_password""), ""mohan"")",Chrome 129.0.0.0,,,04-10-2024 19:10:42,04-10-2024 19:10:42,0.668s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 129.0.0.0,,,04-10-2024 19:10:42,04-10-2024 19:10:43,0.793s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/img""))",Chrome 129.0.0.0,,,04-10-2024 19:10:43,04-10-2024 19:10:44,0.621s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/a_FI-SW-01""))",Chrome 129.0.0.0,,,04-10-2024 19:10:44,04-10-2024 19:10:45,0.595s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/a_EST-1""))",Chrome 129.0.0.0,,,04-10-2024 19:10:45,04-10-2024 19:10:45,0.946s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/a_Add to Cart""))",Chrome 129.0.0.0,,,04-10-2024 19:10:45,04-10-2024 19:10:46,0.561s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/a_Proceed to Checkout""))",Chrome 129.0.0.0,,,04-10-2024 19:10:46,04-10-2024 19:10:47,0.553s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/input_Ship to different address_newOrder""))",Chrome 129.0.0.0,,,04-10-2024 19:10:47,04-10-2024 19:10:47,0.529s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/a_Confirm""))",Chrome 129.0.0.0,,,04-10-2024 19:10:47,04-10-2024 19:10:48,0.521s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/a_Return to Main Menu""))",Chrome 129.0.0.0,,,04-10-2024 19:10:48,04-10-2024 19:10:48,0.566s,PASSED
"click(findTestObject(""Object Repository/BrokenLocator/Page_JPetStore Demo/a_Sign Out""))",Chrome 129.0.0.0,,,04-10-2024 19:10:48,04-10-2024 19:10:49,0.724s,PASSED
closeBrowser(),Chrome 129.0.0.0,,,04-10-2024 19:10:49,04-10-2024 19:10:49,0.175s,PASSED
